                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                 1.5751,                 1.1021,                 1.1775,                0.72511,                0.58359,                0.62018,                0.32022,                 1.7674,                 1.2198,                  1.292,               0.008779,               0.008779,               0.008779
                     40,                 1.5724,                 1.1119,                 1.1797,                0.74174,                0.57481,                 0.6211,                0.32713,                  1.762,                 1.2196,                 1.2969,               0.008746,               0.008746,               0.008746
                     41,                 1.5659,                  1.098,                 1.1757,                0.72875,                0.57696,                0.62106,                0.32378,                 1.7796,                 1.2413,                 1.3025,               0.008713,               0.008713,               0.008713
                     42,                 1.5639,                 1.0891,                 1.1769,                0.72134,                0.58704,                0.62289,                0.32854,                 1.7664,                 1.1996,                 1.3005,                0.00868,                0.00868,                0.00868
                     43,                 1.5433,                 1.0635,                 1.1678,                0.73813,                0.58676,                0.62199,                0.32552,                 1.7658,                  1.206,                 1.2917,               0.008647,               0.008647,               0.008647
                     44,                 1.5441,                 1.0648,                  1.166,                0.72057,                 0.5881,                0.62342,                0.32319,                 1.7818,                 1.1978,                 1.3011,               0.008614,               0.008614,               0.008614
                     45,                 1.5342,                 1.0514,                 1.1578,                0.73265,                0.59495,                0.63096,                0.32347,                 1.7867,                  1.188,                 1.2992,               0.008581,               0.008581,               0.008581
                     46,                 1.5476,                  1.049,                 1.1556,                0.72552,                0.59147,                0.62691,                0.32876,                 1.7902,                 1.2075,                  1.301,               0.008548,               0.008548,               0.008548
                     47,                 1.5152,                 1.0408,                 1.1518,                0.75049,                 0.6007,                0.64097,                0.33491,                 1.7734,                 1.1637,                 1.2976,               0.008515,               0.008515,               0.008515
                     48,                 1.5336,                 1.0464,                 1.1555,                0.73382,                 0.6093,                0.63617,                 0.3366,                 1.7526,                 1.1727,                 1.2818,               0.008482,               0.008482,               0.008482
                     49,                 1.5177,                 1.0274,                 1.1571,                0.71944,                  0.599,                0.63389,                 0.3324,                 1.7712,                  1.187,                 1.3018,               0.008449,               0.008449,               0.008449
                     50,                 1.5182,                 1.0279,                 1.1499,                0.75086,                0.59321,                0.63792,                0.33295,                  1.768,                 1.1752,                 1.2974,               0.008416,               0.008416,               0.008416
                     51,                 1.5098,                 1.0186,                 1.1456,                0.72804,                 0.5887,                0.63272,                 0.3362,                 1.7517,                   1.19,                 1.2876,               0.008383,               0.008383,               0.008383
                     52,                 1.5121,                 1.0136,                 1.1469,                 0.7196,                0.60825,                0.64381,                  0.335,                 1.7525,                 1.1567,                  1.286,                0.00835,                0.00835,                0.00835
                     53,                 1.5019,                 1.0138,                 1.1437,                0.74786,                0.61411,                0.64839,                0.34144,                 1.7444,                 1.1688,                 1.2845,               0.008317,               0.008317,               0.008317
                     54,                 1.4894,                0.99457,                 1.1377,                0.71872,                0.60334,                0.63293,                  0.336,                 1.7546,                 1.1647,                 1.2957,               0.008284,               0.008284,               0.008284
                     55,                 1.4834,                0.98516,                 1.1351,                0.74856,                0.59781,                0.63503,                0.33898,                 1.7423,                 1.1739,                 1.2873,               0.008251,               0.008251,               0.008251
                     56,                 1.4788,                0.98233,                 1.1313,                0.74313,                0.60719,                0.64407,                0.34408,                  1.742,                 1.1664,                 1.2825,               0.008218,               0.008218,               0.008218
                     57,                 1.5044,                0.98781,                  1.144,                0.75477,                0.60767,                0.64817,                0.34765,                 1.7342,                 1.1422,                 1.2822,               0.008185,               0.008185,               0.008185
                     58,                 1.4827,                0.98582,                 1.1387,                0.76567,                0.61537,                 0.6512,                  0.354,                 1.7317,                 1.1179,                 1.2791,               0.008152,               0.008152,               0.008152
                     59,                 1.4738,                0.97076,                 1.1268,                0.75827,                0.61639,                0.65277,                0.35349,                 1.7326,                 1.1379,                 1.2849,               0.008119,               0.008119,               0.008119
                     60,                 1.4659,                0.96422,                 1.1237,                0.77106,                0.61839,                0.65887,                 0.3523,                 1.7232,                 1.1366,                 1.2782,               0.008086,               0.008086,               0.008086
                     61,                 1.4612,                0.96284,                  1.129,                0.73733,                0.60991,                0.64452,                0.34441,                 1.7404,                 1.1434,                 1.2853,               0.008053,               0.008053,               0.008053
                     62,                 1.4604,                0.96391,                 1.1237,                0.74484,                0.61828,                0.65327,                0.35292,                 1.7408,                 1.1278,                 1.2841,                0.00802,                0.00802,                0.00802
                     63,                 1.4685,                0.95266,                 1.1283,                0.75167,                0.61585,                0.65322,                0.34723,                 1.7393,                 1.1468,                 1.2851,               0.007987,               0.007987,               0.007987
                     64,                 1.4558,                0.94738,                 1.1211,                0.75688,                 0.6182,                0.64968,                0.35054,                 1.7514,                 1.1395,                 1.2929,               0.007954,               0.007954,               0.007954
                     65,                 1.4464,                0.93705,                 1.1169,                0.74903,                0.62441,                0.65288,                0.35328,                 1.7314,                 1.1029,                 1.2843,               0.007921,               0.007921,               0.007921
                     66,                 1.4376,                 0.9212,                 1.1132,                0.77588,                 0.6296,                0.66159,                0.36004,                  1.727,                 1.0947,                 1.2837,               0.007888,               0.007888,               0.007888
                     67,                 1.4468,                0.94112,                 1.1203,                0.77305,                0.62084,                0.65615,                0.35843,                   1.73,                  1.122,                 1.2843,               0.007855,               0.007855,               0.007855
                     68,                 1.4485,                0.93805,                 1.1172,                0.77033,                0.62615,                 0.6629,                0.36034,                 1.7142,                 1.1003,                 1.2743,               0.007822,               0.007822,               0.007822
                     69,                  1.438,                0.91884,                 1.1152,                0.76342,                0.62479,                0.65549,                0.35765,                 1.7185,                 1.1028,                 1.2705,               0.007789,               0.007789,               0.007789
                     70,                 1.4323,                0.92503,                 1.1115,                 0.7621,                0.62726,                 0.6564,                0.36064,                 1.7139,                 1.1037,                  1.273,               0.007756,               0.007756,               0.007756
                     71,                 1.4401,                0.91955,                 1.1128,                0.75616,                0.62747,                0.64851,                0.35942,                 1.7072,                  1.115,                 1.2716,               0.007723,               0.007723,               0.007723
                     72,                 1.4269,                0.91553,                 1.1056,                0.75332,                 0.6305,                0.65963,                0.36372,                   1.71,                 1.0819,                 1.2688,                0.00769,                0.00769,                0.00769
                     73,                 1.4111,                0.90715,                 1.1019,                0.75344,                0.63558,                0.66323,                 0.3616,                 1.7213,                 1.0934,                 1.2735,               0.007657,               0.007657,               0.007657
                     74,                 1.4254,                0.90418,                 1.1051,                0.76945,                0.63211,                 0.6671,                0.36405,                 1.7177,                 1.0983,                 1.2784,               0.007624,               0.007624,               0.007624
                     75,                 1.4018,                0.89612,                 1.0946,                0.76051,                0.63147,                0.66332,                0.36225,                 1.7158,                 1.0961,                 1.2718,               0.007591,               0.007591,               0.007591
                     76,                 1.3923,                 0.8797,                 1.1001,                0.75829,                0.64369,                0.66735,                0.36731,                 1.7124,                 1.0784,                 1.2735,               0.007558,               0.007558,               0.007558
