                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1963,                 2.7129,                 1.5617,                0.48678,                0.35889,                 0.3324,                0.13937,                 2.0161,                 1.7751,                  1.456,              0.0033255,              0.0033255,              0.0033255
                      2,                 1.9239,                 1.6805,                 1.3791,                0.51609,                 0.3684,                0.37885,                0.17214,                 2.0151,                 1.7806,                 1.4555,              0.0066368,              0.0066368,              0.0066368
                      3,                 1.8753,                  1.594,                   1.36,                0.51572,                0.44632,                 0.4349,                0.18532,                 1.9935,                 1.6142,                 1.4626,              0.0099262,              0.0099262,              0.0099262
                      4,                 1.9169,                 1.6767,                 1.3839,                0.45831,                0.37563,                0.36713,                0.15295,                 2.0846,                 1.8765,                 1.4669,               0.009901,               0.009901,               0.009901
                      5,                 1.8689,                 1.5981,                 1.3618,                0.58825,                0.46128,                0.48358,                0.22649,                 1.9272,                 1.6749,                 1.4027,               0.009868,               0.009868,               0.009868
                      6,                 1.8429,                 1.5269,                 1.3486,                  0.557,                0.46594,                0.46412,                0.21367,                 1.9212,                 1.5874,                 1.4415,               0.009835,               0.009835,               0.009835
                      7,                  1.807,                 1.4841,                 1.3351,                0.59596,                0.46962,                0.49775,                 0.2387,                 1.9016,                 1.4644,                 1.3922,               0.009802,               0.009802,               0.009802
                      8,                 1.7757,                 1.4219,                 1.3112,                0.59366,                0.44681,                0.46973,                0.21493,                 1.9082,                 1.5874,                 1.4201,               0.009769,               0.009769,               0.009769
                      9,                 1.7602,                 1.3987,                 1.3071,                0.62065,                0.47459,                0.50563,                  0.247,                 1.8821,                 1.5309,                 1.4007,               0.009736,               0.009736,               0.009736
                     10,                 1.7288,                 1.3441,                  1.287,                0.64148,                0.51312,                0.54601,                 0.2648,                 1.8802,                 1.4227,                 1.4067,               0.009703,               0.009703,               0.009703
                     11,                 1.7141,                 1.3307,                 1.2884,                0.59094,                0.48942,                0.49178,                0.23148,                 1.8838,                 1.4759,                 1.3784,                0.00967,                0.00967,                0.00967
                     12,                 1.7186,                 1.3137,                 1.2803,                0.65498,                0.52499,                0.54977,                0.26509,                 1.8454,                 1.4253,                 1.3749,               0.009637,               0.009637,               0.009637
                     13,                 1.6865,                 1.2734,                 1.2644,                0.64181,                0.52277,                0.54334,                0.26759,                 1.8318,                 1.3595,                 1.3789,               0.009604,               0.009604,               0.009604
                     14,                 1.6495,                 1.2347,                 1.2514,                0.66271,                0.54744,                0.57197,                0.28621,                  1.841,                 1.3517,                 1.3806,               0.009571,               0.009571,               0.009571
                     15,                  1.653,                 1.2246,                  1.247,                0.67675,                0.56121,                0.58874,                0.28946,                 1.8292,                 1.3242,                 1.3374,               0.009538,               0.009538,               0.009538
                     16,                 1.6327,                  1.216,                 1.2449,                 0.6539,                 0.5422,                0.57496,                0.28046,                 1.8199,                 1.3523,                 1.3657,               0.009505,               0.009505,               0.009505
                     17,                 1.6263,                 1.2066,                 1.2369,                0.67932,                 0.5487,                0.58492,                0.29054,                  1.811,                 1.3583,                 1.3533,               0.009472,               0.009472,               0.009472
                     18,                 1.6256,                 1.1885,                 1.2379,                0.66744,                0.55329,                0.58257,                0.28611,                 1.8307,                 1.2998,                 1.3496,               0.009439,               0.009439,               0.009439
                     19,                 1.6076,                 1.1686,                 1.2223,                0.67607,                0.55864,                0.58605,                0.28698,                 1.8114,                 1.3101,                 1.3386,               0.009406,               0.009406,               0.009406
                     20,                  1.593,                  1.158,                 1.2199,                0.69327,                0.56293,                0.60126,                0.30113,                 1.8054,                 1.2702,                 1.3263,               0.009373,               0.009373,               0.009373
                     21,                 1.5892,                 1.1323,                 1.2164,                0.68778,                0.58467,                0.61018,                0.30936,                 1.8109,                 1.2303,                 1.3343,                0.00934,                0.00934,                0.00934
                     22,                 1.5711,                 1.1226,                 1.2071,                0.70964,                0.59424,                0.62194,                0.31829,                 1.7945,                 1.2471,                 1.3302,               0.009307,               0.009307,               0.009307
                     23,                 1.5744,                 1.1102,                 1.2039,                0.71865,                0.57323,                0.60542,                0.30423,                 1.7996,                 1.2696,                 1.3349,               0.009274,               0.009274,               0.009274
                     24,                 1.5519,                 1.0769,                 1.1909,                0.72717,                0.56177,                0.60718,                0.30478,                 1.8051,                 1.2783,                 1.3452,               0.009241,               0.009241,               0.009241
                     25,                 1.5488,                 1.0783,                 1.1932,                0.71908,                0.57058,                0.61508,                0.30522,                 1.7794,                 1.2497,                 1.3288,               0.009208,               0.009208,               0.009208
